symbol_key,open_time_ms,open,high,low,close,volume
USDT-FUTURES:ETHUSDT,1777302000000,2313.84,2314.23,2292.17,2294.99,25514.31
USDT-FUTURES:ETHUSDT,1777302300000,2294.99,2301.32,2291.27,2295.49,12136.73
USDT-FUTURES:ETHUSDT,1777302600000,2295.49,2299.81,2291.86,2293.6,7075.29
USDT-FUTURES:ETHUSDT,1777302900000,2293.6,2293.6,2278.1,2281.01,31738.38
USDT-FUTURES:ETHUSDT,1777303200000,2281.01,2284.7,2264.24,2267.76,42093.26
USDT-FUTURES:ETHUSDT,1777303500000,2267.76,2275.79,2264.31,2275.53,13087.65
USDT-FUTURES:ETHUSDT,1777303800000,2275.53,2282.98,2274.4,2280.84,9146.29
USDT-FUTURES:ETHUSDT,1777304100000,2280.84,2281.89,2278.3,2281.13,3469.88
USDT-FUTURES:ETHUSDT,1777304400000,2281.13,2283.83,2279.56,2281.57,3503.98
USDT-FUTURES:ETHUSDT,1777304700000,2281.57,2281.58,2272.66,2273.0,5689.78
USDT-FUTURES:ETHUSDT,1777305000000,2273.0,2276.76,2271.73,2275.8,4277.56
USDT-FUTURES:ETHUSDT,1777305300000,2275.8,2275.97,2272.21,2273.87,2636.84
USDT-FUTURES:ETHUSDT,1777305600000,2273.87,2275.11,2268.77,2273.38,6132.18
USDT-FUTURES:ETHUSDT,1777305900000,2273.38,2276.7,2272.22,2275.37,2862.96
USDT-FUTURES:ETHUSDT,1777306200000,2275.37,2277.44,2273.99,2276.96,1689.68
USDT-FUTURES:ETHUSDT,1777306500000,2276.96,2279.84,2276.71,2278.29,1719.7
USDT-FUTURES:ETHUSDT,1777306800000,2278.29,2278.77,2274.76,2275.55,3468.92
USDT-FUTURES:ETHUSDT,1777307100000,2275.55,2277.37,2275.25,2275.49,595.66
USDT-FUTURES:ETHUSDT,1777307400000,2275.49,2278.55,2275.45,2276.09,1496.1
USDT-FUTURES:ETHUSDT,1777307700000,2276.09,2277.04,2273.2,2275.37,1443.16
USDT-FUTURES:ETHUSDT,1777308000000,2275.37,2275.37,2272.67,2274.08,1564.13
USDT-FUTURES:ETHUSDT,1777308300000,2274.08,2278.11,2273.96,2276.22,1072.01
USDT-FUTURES:ETHUSDT,1777308600000,2276.22,2278.1,2275.75,2276.91,851.19
USDT-FUTURES:ETHUSDT,1777308900000,2276.91,2277.49,2273.0,2276.95,2533.11
USDT-FUTURES:ETHUSDT,1777309200000,2276.95,2282.33,2276.81,2282.0,2758.36
USDT-FUTURES:ETHUSDT,1777309500000,2282.0,2282.01,2278.68,2279.82,2386.88
USDT-FUTURES:ETHUSDT,1777309800000,2279.82,2281.48,2278.55,2280.55,477.89
USDT-FUTURES:ETHUSDT,1777310100000,2280.55,2282.0,2278.44,2280.52,347.41
USDT-FUTURES:ETHUSDT,1777310400000,2280.52,2286.49,2279.14,2284.52,5673.35
USDT-FUTURES:ETHUSDT,1777310700000,2284.52,2289.11,2284.28,2286.75,4304.49
USDT-FUTURES:ETHUSDT,1777311000000,2286.75,2291.44,2286.73,2290.34,2923.27
USDT-FUTURES:ETHUSDT,1777311300000,2290.34,2291.35,2288.55,2289.45,1614.32
USDT-FUTURES:ETHUSDT,1777311600000,2289.45,2289.95,2285.35,2289.4,2983.43
USDT-FUTURES:ETHUSDT,1777311900000,2289.4,2290.32,2288.0,2288.98,1190.67
USDT-FUTURES:ETHUSDT,1777312200000,2288.98,2288.99,2285.63,2287.0,1021.69
USDT-FUTURES:ETHUSDT,1777312500000,2287.0,2287.56,2285.52,2285.69,406.3
USDT-FUTURES:ETHUSDT,1777312800000,2285.69,2288.63,2284.32,2286.9,1858.53
USDT-FUTURES:ETHUSDT,1777313100000,2286.9,2288.1,2284.28,2284.35,616.89
USDT-FUTURES:ETHUSDT,1777313400000,2284.35,2287.33,2284.21,2287.04,783.8
USDT-FUTURES:ETHUSDT,1777313700000,2287.04,2290.9,2286.93,2287.91,799.35
USDT-FUTURES:ETHUSDT,1777314000000,2287.91,2289.21,2285.69,2288.15,713.7
USDT-FUTURES:ETHUSDT,1777314300000,2288.15,2288.15,2283.25,2284.65,1039.96
USDT-FUTURES:ETHUSDT,1777314600000,2284.65,2287.44,2283.92,2286.42,1162.3
USDT-FUTURES:ETHUSDT,1777314900000,2286.42,2288.6,2286.03,2287.59,709.83
USDT-FUTURES:ETHUSDT,1777315200000,2287.59,2288.84,2287.11,2288.38,563.45
USDT-FUTURES:ETHUSDT,1777315500000,2288.38,2290.24,2287.12,2288.92,826.41
USDT-FUTURES:ETHUSDT,1777315800000,2288.92,2289.93,2288.0,2288.58,800.57
USDT-FUTURES:ETHUSDT,1777316100000,2288.58,2289.38,2287.14,2287.44,516.24
USDT-FUTURES:ETHUSDT,1777316400000,2287.44,2289.14,2285.4,2285.85,601.26
USDT-FUTURES:ETHUSDT,1777316700000,2285.85,2286.38,2284.22,2286.37,461.46
USDT-FUTURES:ETHUSDT,1777317000000,2286.37,2290.86,2286.09,2289.25,2628.6
USDT-FUTURES:ETHUSDT,1777317300000,2289.25,2290.0,2287.0,2287.0,464.26
USDT-FUTURES:ETHUSDT,1777317600000,2287.0,2287.32,2284.58,2284.59,408.4
USDT-FUTURES:ETHUSDT,1777317900000,2284.59,2284.82,2278.37,2279.23,3279.9
USDT-FUTURES:ETHUSDT,1777318200000,2279.23,2281.06,2273.73,2280.89,6108.33
USDT-FUTURES:ETHUSDT,1777318500000,2280.89,2283.32,2280.29,2282.69,1006.85
USDT-FUTURES:ETHUSDT,1777318800000,2282.69,2287.0,2282.69,2286.0,1380.95
USDT-FUTURES:ETHUSDT,1777319100000,2286.0,2287.83,2285.48,2286.9,586.47
USDT-FUTURES:ETHUSDT,1777319400000,2286.9,2287.47,2285.4,2286.3,1089.33
USDT-FUTURES:ETHUSDT,1777319700000,2286.3,2288.51,2285.64,2288.17,1236.8
USDT-FUTURES:ETHUSDT,1777320000000,2288.17,2293.17,2287.92,2293.12,3820.64
USDT-FUTURES:ETHUSDT,1777320300000,2293.12,2295.53,2291.21,2292.99,2391.8
USDT-FUTURES:ETHUSDT,1777320600000,2292.99,2293.91,2289.45,2290.0,2538.46
USDT-FUTURES:ETHUSDT,1777320900000,2290.0,2291.95,2290.0,2291.27,382.15
USDT-FUTURES:ETHUSDT,1777321200000,2291.27,2292.29,2290.0,2291.87,449.42
USDT-FUTURES:ETHUSDT,1777321500000,2291.87,2292.32,2290.58,2292.0,683.92
USDT-FUTURES:ETHUSDT,1777321800000,2292.0,2293.37,2291.45,2292.33,291.74
USDT-FUTURES:ETHUSDT,1777322100000,2292.33,2295.19,2292.04,2292.5,1533.65
USDT-FUTURES:ETHUSDT,1777322400000,2292.5,2292.64,2290.84,2291.52,496.3
USDT-FUTURES:ETHUSDT,1777322700000,2291.52,2291.74,2290.09,2290.56,730.04
USDT-FUTURES:ETHUSDT,1777323000000,2290.56,2291.23,2290.29,2290.69,134.03
USDT-FUTURES:ETHUSDT,1777323300000,2290.69,2291.77,2290.34,2290.34,345.1
USDT-FUTURES:ETHUSDT,1777323600000,2290.34,2290.34,2287.28,2288.37,988.59
USDT-FUTURES:ETHUSDT,1777323900000,2288.37,2288.44,2287.3,2287.46,570.02
USDT-FUTURES:ETHUSDT,1777324200000,2287.46,2289.0,2285.61,2288.0,1653.88
USDT-FUTURES:ETHUSDT,1777324500000,2288.0,2290.01,2287.3,2287.65,198.69
USDT-FUTURES:ETHUSDT,1777324800000,2287.65,2288.0,2287.2,2287.23,200.77
USDT-FUTURES:ETHUSDT,1777325100000,2287.23,2289.87,2286.5,2288.52,844.75
USDT-FUTURES:ETHUSDT,1777325400000,2288.52,2290.96,2288.52,2290.49,481.93
USDT-FUTURES:ETHUSDT,1777325700000,2290.49,2291.37,2289.67,2289.97,312.88
USDT-FUTURES:ETHUSDT,1777326000000,2289.97,2291.1,2289.0,2289.79,251.51
USDT-FUTURES:ETHUSDT,1777326300000,2289.79,2289.79,2287.74,2289.4,473.61
USDT-FUTURES:ETHUSDT,1777326600000,2289.4,2290.08,2287.68,2287.68,269.35
USDT-FUTURES:ETHUSDT,1777326900000,2287.68,2287.83,2286.05,2286.1,276.47
USDT-FUTURES:ETHUSDT,1777327200000,2286.1,2287.57,2285.32,2285.51,1041.24
USDT-FUTURES:ETHUSDT,1777327500000,2285.51,2289.11,2283.3,2287.41,2493.67
USDT-FUTURES:ETHUSDT,1777327800000,2287.41,2288.75,2287.04,2288.1,691.03
USDT-FUTURES:ETHUSDT,1777328100000,2288.1,2289.17,2287.65,2288.41,427.94
USDT-FUTURES:ETHUSDT,1777328400000,2288.41,2288.95,2287.75,2287.81,80.48
